duration,file_size,durationSecs,rscore,adult,bulk,impostor,lowpriority,malware,mlx,mlxlog,phish,sn,spam,suspect,unknownsender,engine,overall,msgSizeBytes,detectedSizeBytes,sizeDecodedBytes,structureId,rcpts,sender,filter_score,linecount,sizeBytes,size,timeendpos,timestartpos,isPhish
0.151928,1.0,0.151928,16.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,57.0,0.0,0.0,20.0,100.0,100.0,7212.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5268.0,5268.0,2705.0,2674.0,2.0
0.160288,1.0,0.160288,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,13.0,0.0,0.0,20.0,100.0,100.0,7206.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5260.0,5260.0,2974.0,2943.0,2.0
0.123528,1.0,0.123528,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,19.0,0.0,0.0,20.0,100.0,100.0,7207.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5269.0,5269.0,2986.0,2955.0,2.0
0.188691,1.0,0.188691,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,80.0,0.0,0.0,20.0,100.0,100.0,7206.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5257.0,5257.0,2623.0,2592.0,2.0
0.171942,1.0,0.171942,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-264.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8591.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6272.0,6272.0,6708.0,6677.0,2.0
0.129895,1.0,0.129895,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,36.0,0.0,0.0,20.0,100.0,100.0,7269.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5327.0,5327.0,2742.0,2711.0,2.0
0.139972,1.0,0.139972,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,75.0,0.0,0.0,20.0,100.0,100.0,7261.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5320.0,5320.0,3037.0,3006.0,2.0
0.350857,1.0,0.350857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,100.0,56.0,0.0,0.0,20.0,100.0,100.0,40634.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,38794.0,38794.0,2510.0,2479.0,2.0
0.389352,1.0,0.389352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,100.0,68.0,0.0,0.0,20.0,100.0,100.0,8411.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6523.0,6523.0,4827.0,4796.0,2.0
0.219615,1.0,0.219615,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,86.0,0.0,0.0,20.0,100.0,100.0,7198.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5257.0,5257.0,4044.0,4013.0,2.0
